album_,artists_,track_name,release_year,release_month,duration_min,explicit,popularity,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,status
Janesis,Efya,Heartbeat,2016,April,4.251316667,False,11,0,1,4,0.18600000000000003,0.614,0.695,0.0,0.191,-5.707000000000001,0.122,0.331,95.96700000000001,hit
Fisherman Waves,Gasmilla,Funky,2019,March,3.3176,False,14,7,0,4,0.397,0.88,0.657,9.87e-05,0.113,-6.656000000000001,0.0459,0.557,117.008,hit
Wohekyere,Daddy Lumba,Jane,2005,May,5.997116667,False,18,7,1,4,0.0773,0.688,0.539,1.88e-05,0.188,-11.290999999999999,0.0528,0.564,83.06299999999999,hit
4word,4x4,Mante Ne De,2013,December,3.554416667,False,0,7,1,4,0.0503,0.9590000000000001,0.903,0.0,0.156,-3.6630000000000003,0.0629,0.872,125.037,non_hit
Lige Nu,M.anifest,Nok Af Dig,2013,November,2.797033333,False,0,11,0,4,0.0724,0.696,0.815,0.0,0.0729,-6.0760000000000005,0.0549,0.7709999999999999,136.727,non_hit
MMM (Money Making Machine),MC Galaxy,Shengene,2017,May,3.7008666669999997,False,0,11,1,4,0.242,0.537,0.7070000000000001,0.0,0.0979,-6.77,0.266,0.838,133.069,non_hit
Rasta Flex,Shatta Wale,Pumpum,2015,April,2.740733333,False,1,9,0,5,0.11699999999999999,0.499,0.675,0.0,0.0702,-4.352,0.324,0.768,73.44,non_hit
Books & Rhymes,Edem,Zero to Hero,2020,February,5.069933333,False,1,0,0,4,0.27,0.616,0.722,0.0,0.0678,-2.528,0.0873,0.8759999999999999,119.993,non_hit
Tofa,Obrafour,Akokonini,2018,April,5.0046666669999995,False,0,2,1,4,0.29100000000000004,0.684,0.9309999999999999,0.0,0.449,-3.852,0.21100000000000002,0.8079999999999999,114.699,non_hit
Tofa,Obrafour,Sete,2018,April,5.001583333,False,0,6,0,4,0.281,0.698,0.958,0.0,0.165,-4.05,0.19399999999999998,0.857,119.758,non_hit
Daddy Lumba Essentials,Daddy Lumba,Adepa Hyɛ Adepa Mu,2012,March,4.07685,False,12,0,1,4,0.419,0.72,0.7979999999999999,0.0297,0.23,-8.146,0.0533,0.91,106.072,hit
BVR,E.L,Prayer for Ghana,2018,October,4.766666667,False,1,2,1,4,0.0281,0.88,0.7609999999999999,0.0,0.423,-5.529,0.196,0.39299999999999996,120.01799999999999,non_hit
Sugar,Becca,Ghana,2007,November,4.3421333330000005,False,1,0,1,4,0.153,0.86,0.486,0.000616,0.121,-11.807,0.111,0.6940000000000001,90.006,non_hit
Reign,Shatta Wale,If I See,2018,October,3.718833333,False,10,0,0,4,0.166,0.569,0.934,0.0,0.0526,-2.501,0.273,0.823,103.28399999999999,hit
I Won't Wait,Joey B,Turn The Page (as made famous by Bob Seger),2008,September,4.2197833330000005,False,1,2,1,4,0.672,0.258,0.0973,3.31e-06,0.341,-20.926,0.0569,0.332,170.74900000000002,non_hit
Matters of the Heart,Akwaboah,Forget,2018,May,4.3393,False,24,1,0,4,0.354,0.826,0.784,0.0,0.0802,-3.9610000000000003,0.0744,0.9329999999999999,107.986,hit
Asem Beba Dabi,Obrafour,Odo Pa Ye Nna,2018,May,5.0039,False,0,5,1,4,0.368,0.604,0.8079999999999999,0.0,0.34700000000000003,-5.5889999999999995,0.28,0.8809999999999999,84.213,non_hit
Reign,Shatta Wale,Crazy,2018,October,3.4809,False,12,3,0,4,0.535,0.728,0.6559999999999999,0.0,0.0918,-5.492999999999999,0.0654,0.879,115.809,hit
Green Times Mixtape,Shatta Wale,Mi Have a Gun,2014,March,3.923116667,False,1,6,0,5,0.515,0.741,0.7140000000000001,0.0,0.312,-5.265,0.488,0.885,139.01,non_hit
Bo Wonsem Ma Me,Eazzy,Wengeze,2013,December,3.552,True,16,7,1,4,0.134,0.8759999999999999,0.847,0.0114,0.115,-5.642,0.22,0.759,124.95,hit
New Africa Nation,Fuse ODG,Interlude (feat. Suli Breaks),2019,March,1.39475,False,12,0,1,4,0.718,0.625,0.537,0.0,0.528,-13.020999999999999,0.131,0.953,97.904,hit
Refuse to Be Broke: Da Revolution 2,R2Bees,Slow Down (feat. Wiz Kid),2014,July,4.3591166669999994,False,44,6,0,5,0.11599999999999999,0.52,0.7170000000000001,0.0,0.249,-3.0060000000000002,0.389,0.7040000000000001,135.55,hit
Wonder Boy,Shatta Wale,Jata Bi,2019,October,3.3313333330000003,False,29,4,1,4,0.0406,0.8859999999999999,0.519,0.0,0.175,-8.984,0.285,0.872,108.098,hit
